Name,Surname,StudentID,Course,Grade
Liam,Smith,351905,Information Governance,51
Olivia,Johnson,515395,Information Governance,58
Noah,Williams,732125,Information Governance,54
Emma,Jones,971082,Information Governance,43
Oliver,Brown,386967,Information Governance,63
Ava,Davis,130533,Information Governance,48
Elijah,Miller,122393,Information Governance,50
Charlotte,Wilson,809228,Information Governance,22
William,Moore,180668,Information Governance,24
Sophia,Taylor,820989,Information Governance,35
James,Anderson,652786,Information Governance,64
Amelia,Thomas,963732,Information Governance,33
Benjamin,Jackson,842755,Information Governance,77
Isabella,White,137887,Information Governance,49
Lucas,Harris,206343,Information Governance,47
Mia,Martin,161524,Information Governance,22
Henry,Thompson,929803,Information Governance,45
Evelyn,Garcia,535746,Information Governance,39
Alexander,Martinez,914925,Information Governance,64
Harper,Robinson,519889,Information Governance,67
Mason,Clark,254897,Information Governance,46
Abigail,Rodriguez,888399,Information Governance,27
Michael,Lewis,524253,Information Governance,42
Emily,Lee,230645,Information Governance,50
Ethan,Walker,589061,Information Governance,44
Elizabeth,Hall,116287,Information Governance,45
Daniel,Allen,693366,Information Governance,60
Avery,Young,221929,Information Governance,52
Jacob,Hernandez,110330,Information Governance,63
Sofia,King,778640,Information Governance,42
Logan,Wright,270068,Information Governance,44
Ella,Lopez,416464,Information Governance,71
Jackson,Hill,478790,Information Governance,67
Madison,Scott,276255,Information Governance,75
Sebastian,Green,159234,Information Governance,50
Scarlett,Adams,242526,Information Governance,34
Jack,Baker,252917,Information Governance,52
Victoria,Gonzalez,366258,Information Governance,58
Aiden,Nelson,430195,Information Governance,54
Grace,Carter,360911,Information Governance,53
Owen,Mitchell,134112,Information Governance,64
Chloe,Perez,742956,Information Governance,55
Samuel,Roberts,612269,Information Governance,43
Penelope,Turner,850617,Information Governance,40
Matthew,Phillips,450824,Information Governance,24
Luna,Campbell,627805,Information Governance,54
Joseph,Parker,911967,Information Governance,42
Layla,Evans,754303,Information Governance,58
Levi,Edwards,542361,Information Governance,57
Riley,Collins,311120,Information Governance,51
Mateo,Stewart,578116,Information Governance,67
Zoey,Sanchez,893940,Information Governance,49
David,Morris,205368,Information Governance,70
Nora,Rogers,995523,Information Governance,59
John,Reed,761131,Information Governance,46
Eleanor,Cook,936488,Information Governance,40
Wyatt,Morgan,471189,Information Governance,85
Hannah,Bell,410441,Information Governance,61
Carter,Murphy,455926,Information Governance,50
Addison,Bailey,180006,Information Governance,16
Julian,Rivera,345276,Information Governance,66
Lily,Cooper,105849,Information Governance,14
Luke,Richardson,552916,Information Governance,25
Camila,Cox,747633,Information Governance,42
Grayson,Howard,456428,Information Governance,73
Aubrey,Ward,807152,Information Governance,29
Isaac,Torres,463282,Information Governance,36
Zoe,Peterson,353452,Information Governance,22
Jayden,Gray,648923,Information Governance,59
Stella,Ramirez,936932,Information Governance,31
Theodore,James,355777,Information Governance,50
Bella,Watson,548962,Information Governance,19
Gabriel,Brooks,317202,Information Governance,32
Violet,Kelly,918489,Information Governance,78
Anthony,Sanders,328364,Information Governance,50
Aurora,Price,352268,Information Governance,37
Dylan,Bennett,554885,Information Governance,79
Savannah,Wood,318340,Information Governance,53
Leo,Barnes,374512,Information Governance,34
Claire,Ross,765480,Information Governance,59
Lincoln,Henderson,935263,Information Governance,66
Lucy,Coleman,614994,Information Governance,35
Jaxon,Jenkins,562641,Information Governance,63
Audrey,Perry,419958,Information Governance,67
Asher,Powell,588503,Information Governance,44
Sadie,Long,857247,Information Governance,46
Christopher,Patterson,424842,Information Governance,27
Anna,Hughes,911889,Information Governance,65
Joshua,Flores,934902,Information Governance,35
Kinsley,Washington,598608,Information Governance,49
Andrew,Butler,143309,Information Governance,30
Allison,Simmons,325849,Information Governance,43
Thomas,Foster,680023,Information Governance,54
Sarah,Gonzales,113887,Information Governance,68
Ezra,Bryant,937972,Information Governance,41
Aaliyah,Alexander,210819,Information Governance,44
Hudson,Russell,975803,Information Governance,78
Samantha,Griffin,404503,Information Governance,30
Charles,Diaz,271358,Information Governance,19
Natalie,Hayes,374124,Information Governance,18
Caleb,Myers,483915,Information Governance,74
Alice,Ford,461946,Information Governance,48
Isaiah,Hamilton,210187,Information Governance,89
Lillian,Graham,598749,Information Governance,46
Ryan,Sullivan,305766,Information Governance,64
Leah,Wallace,169035,Information Governance,81
Nathan,Woods,275832,Information Governance,64
Adeline,Cole,209269,Information Governance,52
Adrian,West,134676,Information Governance,51
Elizabeth,Jordan,709164,Information Governance,60
Christian,Owens,119139,Information Governance,6
Lyla,Reynolds,505931,Information Governance,62
Maverick,Fisher,509676,Information Governance,41
Mila,Ellis,115238,Information Governance,77
Colton,Harrison,451052,Information Governance,26
Eliana,Gibson,716731,Information Governance,44
Elias,McDonald,944664,Information Governance,41
Aria,Cruz,242492,Information Governance,32
Aaron,Marshall,110570,Information Governance,65
Elena,Ortiz,482142,Information Governance,58
Eli,Gomez,701369,Information Governance,45
Gabriella,Murray,589329,Information Governance,56
Landon,Freeman,620948,Information Governance,47
Taylor,Wells,697828,Information Governance,49
Jonathan,Webb,881658,Information Governance,56
Hailey,Simpson,633930,Information Governance,61
Nolan,Stevens,680770,Information Governance,49
Gianna,Tucker,806904,Information Governance,50
Hunter,Porter,901354,Information Governance,55
Willow,Hunter,733788,Information Governance,62
Cameron,Hicks,418318,Information Governance,47
Katherine,Crawford,925764,Information Governance,35
Connor,Henry,917176,Information Governance,45
Nevaeh,Boyd,619046,Information Governance,32
Santiago,Mason,663463,Information Governance,83
Ruby,Morales,203900,Information Governance,35
Jeremiah,Kennedy,467802,Information Governance,47
Quinn,Warren,174171,Information Governance,44
Ezekiel,Dixon,741108,Information Governance,38
Piper,Ramos,266404,Information Governance,70
Angel,Reyes,158602,Information Governance,36
Isla,Burns,464692,Information Governance,58
Roman,Gordon,425102,Information Governance,81
Sydney,Shaw,339931,Information Governance,53
Easton,Holmes,288024,Information Governance,62
Emilia,Rice,675269,Information Governance,56
Miles,Robertson,350207,Information Governance,49
Caroline,Hunt,300964,Information Governance,60
Robert,Black,186635,Information Governance,36
Nova,Daniels,427428,Information Governance,44
Jameson,Palmer,295637,Information Governance,58
Genesis,Mills,480269,Information Governance,64
Nicholas,Nichols,495662,Information Governance,32
Emery,Grant,115626,Information Governance,61
Greyson,Knight,824226,Information Governance,53
Kennedy,Ferguson,153878,Information Governance,64
Cooper,Rose,239069,Information Governance,49
Serenity,Stone,582399,Information Governance,60
Ian,Hawkins,663776,Information Governance,36
Valentina,Dunn,708385,Information Governance,46
Carson,Perkins,758118,Information Governance,28
Willow,Hudson,404673,Information Governance,56
Axel,Spencer,904973,Information Governance,52
Valeria,Gardner,304707,Information Governance,48
Jaxson,Stephens,833643,Information Governance,66
Adalynn,Payne,896293,Information Governance,68
Dominic,Pierce,357170,Information Governance,55
Athena,Berry,761591,Information Governance,93
Leonardo,Matthews,102039,Information Governance,41
Delilah,Arnold,997649,Information Governance,40
Luca,Wagner,356915,Information Governance,55
Melanie,Willis,664885,Information Governance,41
Brooks,Ray,229308,Information Governance,63
Margaret,Watkins,548327,Information Governance,26
Micah,Olson,179670,Information Governance,54
Jade,Carroll,712308,Information Governance,32
Austin,Duncan,335823,Information Governance,55
Ivy,Snyder,466231,Information Governance,33
Ayden,Hart,620053,Information Governance,75
Luna,Cunningham,783285,Information Governance,55
Adam,Bradley,499863,Information Governance,40
Hazel,Lane,613421,Information Governance,28
Xavier,Andrews,284724,Information Governance,47
Summer,Ruiz,409863,Information Governance,61
Josiah,Harper,197778,Information Governance,59
Emerson,Fox,447273,Information Governance,61
Diego,Riley,745839,Information Governance,48
Leilani,Armstrong,368973,Information Governance,40
Vincent,Carpenter,214551,Information Governance,45
Eliza,Weaver,791074,Information Governance,50
Carter,Greene,511636,Information Governance,79
Laila,Lawrence,785865,Information Governance,47
Parker,Elliott,558048,Information Governance,59
Liliana,Chavez,835276,Information Governance,71
Wesley,Sims,377678,Information Governance,61
Holly,Austin,386084,Information Governance,66
Maddox,Peters,749002,Information Governance,32
Maci,Kelley,207633,Information Governance,38
Kai,Franklin,129800,Information Governance,36
Gracie,Lawson,532927,Information Governance,25
